tipo_dato;fecha_hora;detalle_dato;nivel_sensibilidad;id_empresa
UBICACION;12/4/2025 13:16;Lat: 40.8551, Lon: 0.9764;MEDIO;1
ACTIVIDAD;10/24/2025 1:36;Accion: Busqueda, Objetivo: Perfil;ALTO;2
ACTIVIDAD;12/27/2025 10:59;Accion: Busqueda, Objetivo: Perfil;ALTO;1
UBICACION;9/17/2025 1:06;Lat: 36.5875, Lon: -8.9621;MEDIO;1
ACTIVIDAD;8/4/2025 18:23;Accion: Login, Objetivo: Sistema;BAJO;2
ACTIVIDAD;5/2/2026 13:40;Accion: Logout, Objetivo: Perfil;BAJO;3
UBICACION;8/16/2025 23:53;Lat: 41.3728, Lon: -8.5323;ALTO;2
UBICACION;1/13/2026 23:22;Lat: 37.3887, Lon: -4.2457;MEDIO;3
ACTIVIDAD;2/11/2026 2:35;Accion: Busqueda, Objetivo: Perfil;BAJO;1
UBICACION;8/19/2025 0:11;Lat: 37.5190, Lon: -5.9914;BAJO;2
ACTIVIDAD;3/22/2026 8:58;Accion: Logout, Objetivo: Sistema;BAJO;1
UBICACION;5/28/2025 12:00;Lat: 39.4202, Lon: -1.4644;MEDIO;3
UBICACION;5/9/2026 23:28;Lat: 42.5913, Lon: -6.1669;BAJO;1
UBICACION;9/17/2025 15:17;Lat: 41.1849, Lon: 2.2344;ALTO;1
UBICACION;4/6/2026 3:38;Lat: 41.0417, Lon: -6.3315;BAJO;2
UBICACION;10/7/2025 7:22;Lat: 39.8779, Lon: -7.9851;BAJO;3
UBICACION;5/27/2025 13:19;Lat: 40.8703, Lon: -2.9148;MEDIO;2
UBICACION;7/1/2025 7:00;Lat: 41.5401, Lon: -8.5721;MEDIO;2
UBICACION;12/30/2025 0:59;Lat: 39.5233, Lon: -0.8731;ALTO;2
UBICACION;8/27/2025 14:54;Lat: 40.7398, Lon: 1.5443;MEDIO;3
UBICACION;5/18/2025 7:49;Lat: 36.1591, Lon: -4.6671;MEDIO;2
ACTIVIDAD;12/30/2025 17:21;Accion: Login, Objetivo: Producto;BAJO;2
UBICACION;3/25/2026 10:48;Lat: 42.4862, Lon: 2.0000;BAJO;1
UBICACION;7/24/2025 5:04;Lat: 36.5273, Lon: 2.0262;BAJO;3
UBICACION;7/10/2025 21:35;Lat: 38.4960, Lon: -1.6614;MEDIO;1
ACTIVIDAD;7/4/2025 19:01;Accion: Logout, Objetivo: Producto;MEDIO;2
ACTIVIDAD;10/17/2025 11:42;Accion: Compra, Objetivo: Sistema;ALTO;2
UBICACION;9/30/2025 1:52;Lat: 41.6192, Lon: -6.6523;BAJO;2
UBICACION;10/5/2025 7:12;Lat: 42.2349, Lon: 2.3344;ALTO;2
UBICACION;6/17/2025 16:07;Lat: 42.2131, Lon: -3.8993;MEDIO;1
UBICACION;5/16/2025 3:15;Lat: 38.1928, Lon: -1.9718;BAJO;1
UBICACION;3/23/2026 5:10;Lat: 37.7138, Lon: -3.4287;MEDIO;3
ACTIVIDAD;11/29/2025 4:03;Accion: Login, Objetivo: Sistema;ALTO;1
UBICACION;11/9/2025 0:54;Lat: 42.1426, Lon: -3.5750;MEDIO;1
UBICACION;3/21/2026 22:05;Lat: 38.8887, Lon: 2.7059;MEDIO;2
ACTIVIDAD;3/14/2026 0:21;Accion: Logout, Objetivo: Sistema;ALTO;2
UBICACION;11/8/2025 18:45;Lat: 40.2188, Lon: -4.8499;MEDIO;1
ACTIVIDAD;6/27/2025 10:42;Accion: Login, Objetivo: Sistema;BAJO;3
UBICACION;8/12/2025 14:11;Lat: 41.6603, Lon: -4.7092;MEDIO;2
ACTIVIDAD;4/8/2026 23:10;Accion: Logout, Objetivo: Producto;MEDIO;1
UBICACION;2/12/2026 4:28;Lat: 41.3864, Lon: 0.4244;ALTO;2
UBICACION;1/14/2026 9:50;Lat: 41.7053, Lon: -8.7011;BAJO;3
UBICACION;9/1/2025 21:28;Lat: 40.0253, Lon: -7.5648;MEDIO;3
ACTIVIDAD;7/3/2025 14:34;Accion: Login, Objetivo: Perfil;ALTO;2
ACTIVIDAD;12/24/2025 4:29;Accion: Compra, Objetivo: Sistema;ALTO;2
ACTIVIDAD;9/21/2025 22:48;Accion: Compra, Objetivo: Producto;BAJO;3
UBICACION;5/22/2025 18:54;Lat: 38.4273, Lon: -6.6274;ALTO;2
ACTIVIDAD;12/30/2025 1:28;Accion: Logout, Objetivo: Perfil;MEDIO;2
UBICACION;11/25/2025 22:51;Lat: 41.6702, Lon: -0.0926;BAJO;1
UBICACION;6/26/2025 5:36;Lat: 36.7108, Lon: -4.6494;MEDIO;1
UBICACION;9/11/2025 16:03;Lat: 42.3958, Lon: -3.4655;MEDIO;3
ACTIVIDAD;12/31/2025 4:48;Accion: Login, Objetivo: Sistema;MEDIO;3
ACTIVIDAD;8/15/2025 7:00;Accion: Login, Objetivo: Perfil;MEDIO;3
UBICACION;10/25/2025 8:15;Lat: 38.0754, Lon: -4.5731;ALTO;3
UBICACION;3/11/2026 2:53;Lat: 42.2887, Lon: -3.3857;BAJO;2
UBICACION;6/3/2025 20:00;Lat: 36.6402, Lon: -0.6812;ALTO;1
UBICACION;9/4/2025 20:44;Lat: 40.9014, Lon: -8.2962;ALTO;2
UBICACION;8/14/2025 7:47;Lat: 36.9033, Lon: 0.5860;MEDIO;3
UBICACION;4/16/2026 17:52;Lat: 42.9031, Lon: 2.3549;ALTO;2
UBICACION;10/6/2025 18:29;Lat: 42.9430, Lon: 2.6281;ALTO;1
ACTIVIDAD;4/19/2026 10:41;Accion: Compra, Objetivo: Perfil;MEDIO;3
ACTIVIDAD;9/15/2025 11:33;Accion: Busqueda, Objetivo: Perfil;ALTO;1
UBICACION;11/16/2025 13:23;Lat: 40.8711, Lon: 0.1752;MEDIO;3
ACTIVIDAD;10/8/2025 9:45;Accion: Login, Objetivo: Producto;BAJO;2
ACTIVIDAD;3/19/2026 6:47;Accion: Busqueda, Objetivo: Perfil;ALTO;3
ACTIVIDAD;12/16/2025 4:39;Accion: Login, Objetivo: Sistema;BAJO;2
ACTIVIDAD;12/30/2025 3:35;Accion: Busqueda, Objetivo: Perfil;MEDIO;2
ACTIVIDAD;1/24/2026 2:02;Accion: Logout, Objetivo: Perfil;MEDIO;2
ACTIVIDAD;8/5/2025 11:52;Accion: Login, Objetivo: Perfil;ALTO;3
ACTIVIDAD;1/13/2026 21:45;Accion: Busqueda, Objetivo: Perfil;ALTO;2
ACTIVIDAD;8/16/2025 5:25;Accion: Busqueda, Objetivo: Perfil;BAJO;2
UBICACION;12/8/2025 4:21;Lat: 37.8829, Lon: -5.6787;MEDIO;2
ACTIVIDAD;9/21/2025 12:46;Accion: Login, Objetivo: Producto;BAJO;3
UBICACION;6/12/2025 18:07;Lat: 42.2474, Lon: -1.1621;MEDIO;2
UBICACION;3/27/2026 3:46;Lat: 38.5626, Lon: 0.9580;MEDIO;1
ACTIVIDAD;2/8/2026 10:54;Accion: Login, Objetivo: Producto;ALTO;1
UBICACION;12/10/2025 6:03;Lat: 38.2021, Lon: 1.9130;ALTO;1
UBICACION;1/30/2026 0:20;Lat: 38.8523, Lon: -6.5413;ALTO;1
UBICACION;11/8/2025 19:22;Lat: 39.5395, Lon: 2.7127;MEDIO;1
UBICACION;5/7/2026 12:02;Lat: 40.3482, Lon: -6.6396;BAJO;2
UBICACION;10/29/2025 23:51;Lat: 39.5216, Lon: -3.0764;BAJO;3
UBICACION;9/9/2025 12:58;Lat: 40.8002, Lon: -2.2420;BAJO;2
