tipo_dato;fecha_hora;detalle_dato;nivel_sensibilidad;id_empresa
UBICACION;2025-08-27 15:44:46;Lat: 42.9682, Lon: 1.9058;ALTO;3
UBICACION;2025-10-30 07:42:15;Lat: 40.0518, Lon: -0.3754;BAJO;3
ACTIVIDAD;2025-09-19 19:00:05;Accion: Grabacion_Ring, Objetivo: Camara_Seguridad;MEDIO;3
ACTIVIDAD;2026-02-11 18:16:03;Accion: Comando_Alexa, Objetivo: Serie_Streaming;ALTO;3
ACTIVIDAD;2025-08-22 01:52:00;Accion: Grabacion_Ring, Objetivo: Domotica_Hogar;MEDIO;3
ACTIVIDAD;2025-09-24 01:17:16;Accion: Abandono_Carrito, Objetivo: Articulo_Guardado;ALTO;3
ACTIVIDAD;2025-11-10 05:17:23;Accion: Grabacion_Ring, Objetivo: Articulo_Guardado;ALTO;3
ACTIVIDAD;2025-08-20 20:11:24;Accion: Visualizacion_Prime, Objetivo: Domotica_Hogar;ALTO;3
UBICACION;2025-08-30 13:54:31;Lat: 38.6826, Lon: 2.3428;MEDIO;3
UBICACION;2025-08-25 12:34:33;Lat: 38.2912, Lon: -0.0646;ALTO;3
UBICACION;2025-10-28 08:26:49;Lat: 38.4875, Lon: -7.6380;MEDIO;3
UBICACION;2026-03-05 14:37:01;Lat: 40.9249, Lon: 1.0757;BAJO;3
ACTIVIDAD;2025-09-10 07:34:06;Accion: Abandono_Carrito, Objetivo: Camara_Seguridad;ALTO;3
ACTIVIDAD;2026-01-25 13:42:04;Accion: Anadir_Carrito, Objetivo: Serie_Streaming;BAJO;3
UBICACION;2026-04-21 15:42:05;Lat: 42.2867, Lon: 2.1974;MEDIO;3
UBICACION;2026-04-05 16:17:40;Lat: 37.3851, Lon: 0.7243;BAJO;3
ACTIVIDAD;2026-04-23 23:09:04;Accion: Deteccion_Movimiento, Objetivo: Camara_Seguridad;BAJO;3
ACTIVIDAD;2025-11-07 06:17:49;Accion: Busqueda_Producto, Objetivo: Video_Puerta_Casa;ALTO;3
ACTIVIDAD;2026-02-01 09:39:41;Accion: Anadir_Carrito, Objetivo: Producto_Patrocinado;ALTO;3
ACTIVIDAD;2025-12-30 16:58:56;Accion: Grabacion_Ring, Objetivo: Camara_Seguridad;ALTO;3
ACTIVIDAD;2025-09-02 07:12:36;Accion: Compra_1_Clic, Objetivo: Lista_Deseos;MEDIO;3
UBICACION;2025-07-03 08:18:19;Lat: 40.4816, Lon: -8.0642;ALTO;3
ACTIVIDAD;2025-11-16 23:58:01;Accion: Visualizacion_Prime, Objetivo: Lista_Deseos;ALTO;3
