tipo_dato;fecha_hora;detalle_dato;nivel_sensibilidad;id_empresa
UBICACION;2026-03-25 10:07:03;Lat: 39.7143, Lon: -3.3750;MEDIO;1
ACTIVIDAD;2025-06-18 18:18:52;Accion: Ruta_Maps, Objetivo: Altavoz_Nest;MEDIO;1
UBICACION;2026-04-16 23:17:50;Lat: 41.1554, Lon: 2.9919;BAJO;1
ACTIVIDAD;2025-11-15 15:56:12;Accion: Busqueda_Web, Objetivo: Termino_Busqueda;BAJO;1
ACTIVIDAD;2025-06-12 15:15:59;Accion: Autocompletado, Objetivo: Billete_Avion;BAJO;1
ACTIVIDAD;2025-06-25 03:24:33;Accion: Busqueda_Web, Objetivo: Recibo_Compra;MEDIO;1
ACTIVIDAD;2026-02-01 19:38:14;Accion: Comando_Assistant, Objetivo: Video_Recomendado;BAJO;1
ACTIVIDAD;2025-09-06 15:05:48;Accion: Ruta_Maps, Objetivo: Direccion_IP;ALTO;1
UBICACION;2026-04-22 23:04:34;Lat: 37.5967, Lon: 0.2522;BAJO;1
ACTIVIDAD;2026-03-31 02:33:53;Accion: Ruta_Maps, Objetivo: Historial_Ubicaciones;ALTO;1
ACTIVIDAD;2025-06-08 10:52:56;Accion: Visualizacion_YouTube, Objetivo: Direccion_IP;ALTO;1
UBICACION;2026-04-08 22:28:22;Lat: 42.3078, Lon: -1.1312;ALTO;1
ACTIVIDAD;2025-12-14 15:55:27;Accion: Busqueda_Web, Objetivo: Recibo_Compra;MEDIO;1
UBICACION;2025-08-14 21:48:36;Lat: 36.9640, Lon: -5.8185;ALTO;1
ACTIVIDAD;2025-06-01 19:45:26;Accion: Busqueda_Web, Objetivo: Historial_Navegacion;BAJO;1
ACTIVIDAD;2025-06-10 14:05:24;Accion: Autocompletado, Objetivo: Video_Recomendado;ALTO;1
ACTIVIDAD;2025-12-17 19:48:57;Accion: Escaneo_Gmail, Objetivo: Billete_Avion;ALTO;1
UBICACION;2025-07-05 09:54:56;Lat: 40.2401, Lon: -1.3795;BAJO;1
UBICACION;2025-07-08 22:27:25;Lat: 39.3464, Lon: -3.5104;BAJO;1
ACTIVIDAD;2026-03-06 14:02:15;Accion: Busqueda_Web, Objetivo: Direccion_IP;ALTO;1
ACTIVIDAD;2025-11-01 12:57:38;Accion: Sincronizacion_Chrome, Objetivo: Direccion_IP;ALTO;1
ACTIVIDAD;2025-09-14 21:46:14;Accion: Pago_GPay, Objetivo: Altavoz_Nest;MEDIO;1
ACTIVIDAD;2025-10-04 07:17:23;Accion: Ruta_Maps, Objetivo: Billete_Avion;BAJO;1
ACTIVIDAD;2025-08-16 13:52:36;Accion: Sincronizacion_Chrome, Objetivo: Video_Recomendado;BAJO;1
ACTIVIDAD;2025-08-13 01:12:38;Accion: Visualizacion_YouTube, Objetivo: Historial_Navegacion;BAJO;1
ACTIVIDAD;2025-10-20 22:44:42;Accion: Visualizacion_YouTube, Objetivo: Recibo_Compra;BAJO;1
ACTIVIDAD;2026-04-17 00:27:29;Accion: Sincronizacion_Chrome, Objetivo: Video_Recomendado;ALTO;1
UBICACION;2026-03-12 09:25:38;Lat: 36.3759, Lon: -3.5817;BAJO;1
ACTIVIDAD;2025-08-13 15:36:25;Accion: Busqueda_Web, Objetivo: Altavoz_Nest;BAJO;1
UBICACION;2025-08-01 16:37:28;Lat: 42.0271, Lon: 0.7176;BAJO;1
UBICACION;2025-10-28 16:16:14;Lat: 38.1363, Lon: -3.2047;ALTO;1
UBICACION;2025-11-19 19:28:26;Lat: 36.7037, Lon: 1.2913;ALTO;1
ACTIVIDAD;2025-06-28 02:04:30;Accion: Pago_GPay, Objetivo: Direccion_IP;BAJO;1
UBICACION;2025-05-19 01:44:05;Lat: 41.2213, Lon: 0.9098;ALTO;1
ACTIVIDAD;2026-05-01 13:32:25;Accion: Telemetria_Android, Objetivo: Video_Recomendado;BAJO;1
ACTIVIDAD;2026-02-20 17:15:09;Accion: Autocompletado, Objetivo: Termino_Busqueda;BAJO;1
ACTIVIDAD;2025-05-30 16:32:28;Accion: Autocompletado, Objetivo: Altavoz_Nest;ALTO;1
UBICACION;2026-02-24 06:16:17;Lat: 40.9321, Lon: -1.6228;ALTO;1
UBICACION;2025-10-05 08:46:59;Lat: 39.9499, Lon: 1.3112;MEDIO;1
ACTIVIDAD;2026-03-29 09:28:25;Accion: Escaneo_Gmail, Objetivo: Recibo_Compra;MEDIO;1
UBICACION;2026-02-07 16:29:51;Lat: 40.5358, Lon: -1.9797;MEDIO;1
ACTIVIDAD;2026-03-02 10:26:05;Accion: Pago_GPay, Objetivo: Historial_Navegacion;MEDIO;1
UBICACION;2025-11-09 01:41:59;Lat: 42.1825, Lon: -8.3496;ALTO;1
ACTIVIDAD;2025-12-25 22:30:56;Accion: Ruta_Maps, Objetivo: Video_Recomendado;MEDIO;1
ACTIVIDAD;2025-10-05 07:59:33;Accion: Comando_Assistant, Objetivo: Billete_Avion;MEDIO;1
UBICACION;2025-10-18 18:19:20;Lat: 39.8242, Lon: 2.1505;MEDIO;1
UBICACION;2025-10-18 07:42:12;Lat: 38.8391, Lon: -0.3180;BAJO;1
