tipo_dato;fecha_hora;detalle_dato;nivel_sensibilidad;id_empresa
UBICACION;2026-04-27 11:04:54;Lat: 39.8118, Lon: 2.7871;BAJO;2
UBICACION;2025-11-24 21:45:55;Lat: 39.4924, Lon: -5.7236;ALTO;2
UBICACION;2025-07-24 19:21:52;Lat: 42.5189, Lon: -4.7804;ALTO;2
ACTIVIDAD;2026-02-04 10:13:20;Accion: Interaccion_Post, Objetivo: Historia_24h;BAJO;2
ACTIVIDAD;2026-04-21 21:04:08;Accion: Mensaje_WhatsApp, Objetivo: Anuncio_Personalizado;MEDIO;2
ACTIVIDAD;2025-05-20 11:11:51;Accion: Lectura_Mensaje, Objetivo: Carrito_Web_Terceros;MEDIO;2
ACTIVIDAD;2025-09-22 05:56:33;Accion: Visualizacion_Reel, Objetivo: Metadatos_Chat;BAJO;2
ACTIVIDAD;2026-01-17 17:18:07;Accion: Mensaje_WhatsApp, Objetivo: Perfil_Contacto;MEDIO;2
ACTIVIDAD;2025-08-23 02:47:08;Accion: Visualizacion_Historia, Objetivo: Carrito_Web_Terceros;ALTO;2
ACTIVIDAD;2025-08-25 10:53:36;Accion: Visualizacion_Historia, Objetivo: Tiempo_Pantalla;ALTO;2
ACTIVIDAD;2025-08-18 14:33:42;Accion: Rastreo_Pixel, Objetivo: Video_Corto;ALTO;2
ACTIVIDAD;2026-02-11 17:05:18;Accion: Scroll_Infinito, Objetivo: Perfil_Contacto;ALTO;2
ACTIVIDAD;2026-04-21 21:04:12;Accion: Visualizacion_Reel, Objetivo: Video_Corto;BAJO;2
UBICACION;2026-03-22 03:06:24;Lat: 37.2523, Lon: -6.0976;MEDIO;2
ACTIVIDAD;2026-01-23 19:06:19;Accion: Scroll_Infinito, Objetivo: Perfil_Contacto;BAJO;2
ACTIVIDAD;2026-03-28 02:58:42;Accion: Scroll_Infinito, Objetivo: Historia_24h;ALTO;2
ACTIVIDAD;2025-05-21 14:01:58;Accion: Rastreo_Pixel, Objetivo: Video_Corto;ALTO;2
UBICACION;2025-06-04 14:32:01;Lat: 37.0207, Lon: -1.0381;ALTO;2
UBICACION;2025-09-24 05:30:58;Lat: 42.5254, Lon: -8.8612;ALTO;2
ACTIVIDAD;2026-05-15 22:58:23;Accion: Scroll_Infinito, Objetivo: Carrito_Web_Terceros;MEDIO;2
ACTIVIDAD;2025-08-04 03:09:45;Accion: Scroll_Infinito, Objetivo: Tiempo_Pantalla;BAJO;2
ACTIVIDAD;2026-01-24 10:48:38;Accion: Visualizacion_Historia, Objetivo: Anuncio_Personalizado;MEDIO;2
UBICACION;2025-10-27 14:04:15;Lat: 40.2565, Lon: -0.6288;ALTO;2
UBICACION;2026-04-07 15:12:07;Lat: 41.7938, Lon: -8.9141;BAJO;2
ACTIVIDAD;2026-02-28 15:14:52;Accion: Interaccion_Post, Objetivo: Metadatos_Chat;BAJO;2
ACTIVIDAD;2026-03-24 15:46:40;Accion: Visualizacion_Historia, Objetivo: Post_Politico;ALTO;2
ACTIVIDAD;2025-05-25 01:52:19;Accion: Lectura_Mensaje, Objetivo: Historia_24h;ALTO;2
UBICACION;2025-11-30 17:53:52;Lat: 40.4893, Lon: -7.2335;ALTO;2
UBICACION;2026-02-11 14:53:52;Lat: 40.1939, Lon: -4.7072;BAJO;2
